Gas production cumulative,Oil production cumulative,Water production cumulative,Reservoir
153522785.28,115101312.64,6462739.235,16
120627674.0,110801192.64,5241244.165,26
153094240.72,115161382.8,6825592.19,36
136386441.04,113140963.52,6942636.85,46
115335133.68,112011648.0,7720275.815,56
111593377.52,106019345.84,6420642.915,6
115549022.08,109715397.36,7448765.13,66
116647042.4,112322640.0,8199140.67,76
115995989.92,111490942.32,7558776.33,86
114380943.92,112264364.16,8036487.235,96
